,hiduke,jikoku_code,power
17088,2019-01-01,1,16002.552572311779
17089,2019-01-01,2,16002.552572311779
17090,2019-01-01,3,16476.649891415665
17091,2019-01-01,4,16426.36206366993
17092,2019-01-01,5,15506.726030281989
17093,2019-01-01,6,15506.726030281989
17094,2019-01-01,7,16095.700692547562
17095,2019-01-01,8,16095.700692547562
17096,2019-01-01,9,16095.700692547562
17097,2019-01-01,10,16095.700692547562
17098,2019-01-01,11,16498.47590354275
17099,2019-01-01,12,16498.47590354275
17100,2019-01-01,13,17243.52253636122
17101,2019-01-01,14,17243.52253636122
17102,2019-01-01,15,20018.247224408682
17103,2019-01-01,16,20566.13024110537
17104,2019-01-01,17,19850.717707387983
17105,2019-01-01,18,20031.98609064941
17106,2019-01-01,19,20437.275617572966
17107,2019-01-01,20,20649.22563579821
17108,2019-01-01,21,19736.185537776782
17109,2019-01-01,22,19736.185537776782
17110,2019-01-01,23,19508.130238221544
17111,2019-01-01,24,19508.130238221544
17112,2019-01-01,25,18467.671563249154
17113,2019-01-01,26,18467.671563249154
17114,2019-01-01,27,18265.563722341863
17115,2019-01-01,28,18265.563722341863
17116,2019-01-01,29,17772.800741313804
17117,2019-01-01,30,17772.800741313804
17118,2019-01-01,31,18501.1545249801
17119,2019-01-01,32,18501.1545249801
17120,2019-01-01,33,19587.82244851813
17121,2019-01-01,34,19692.77484486108
17122,2019-01-01,35,20929.591171302007
17123,2019-01-01,36,20929.591171302007
17124,2019-01-01,37,21074.787202899483
17125,2019-01-01,38,21074.787202899483
17126,2019-01-01,39,21052.333644560043
17127,2019-01-01,40,21052.333644560043
17128,2019-01-01,41,20348.127456281676
17129,2019-01-01,42,20304.95890503574
17130,2019-01-01,43,19421.75093139386
17131,2019-01-01,44,19421.75093139386
17132,2019-01-01,45,18458.66275968799
17133,2019-01-01,46,18402.402868928137
17134,2019-01-01,47,17985.402927324736
17135,2019-01-01,48,17985.402927324736
17136,2019-01-02,1,16080.29567419237
17137,2019-01-02,2,16080.29567419237
17138,2019-01-02,3,15540.817064169905
17139,2019-01-02,4,15540.817064169905
17140,2019-01-02,5,15094.371631050994
17141,2019-01-02,6,15094.371631050994
17142,2019-01-02,7,15094.371631050994
17143,2019-01-02,8,15094.371631050994
17144,2019-01-02,9,14932.685757543022
17145,2019-01-02,10,14932.685757543022
17146,2019-01-02,11,15165.243448929812
17147,2019-01-02,12,15165.243448929812
17148,2019-01-02,13,17684.969179446653
17149,2019-01-02,14,17684.969179446653
17150,2019-01-02,15,18723.84185748582
17151,2019-01-02,16,18723.84185748582
17152,2019-01-02,17,19851.95896970316
17153,2019-01-02,18,19910.6378284692
17154,2019-01-02,19,19578.75705698845
17155,2019-01-02,20,19640.441660964316
17156,2019-01-02,21,18993.67667892203
17157,2019-01-02,22,18993.67667892203
17158,2019-01-02,23,18651.754742927744
17159,2019-01-02,24,18651.754742927744
17160,2019-01-02,25,18468.068572254924
17161,2019-01-02,26,18468.068572254924
17162,2019-01-02,27,17876.916909338066
17163,2019-01-02,28,17876.916909338066
17164,2019-01-02,29,18524.1637785114
17165,2019-01-02,30,18524.1637785114
17166,2019-01-02,31,18620.7554300677
17167,2019-01-02,32,18620.7554300677
17168,2019-01-02,33,18808.78818111172
17169,2019-01-02,34,18996.076551232225
17170,2019-01-02,35,19765.077707606906
17171,2019-01-02,36,19765.077707606906
17172,2019-01-02,37,20141.232429481985
17173,2019-01-02,38,20141.232429481985
17174,2019-01-02,39,20366.923223860533
17175,2019-01-02,40,20366.923223860533
17176,2019-01-02,41,20236.14516345381
17177,2019-01-02,42,20236.14516345381
17178,2019-01-02,43,19615.137902039165
17179,2019-01-02,44,19615.137902039165
17180,2019-01-02,45,18768.04552286549
17181,2019-01-02,46,18768.04552286549
17182,2019-01-02,47,17806.023358022278
17183,2019-01-02,48,17806.023358022278
17184,2019-01-03,1,15788.520713491485
17185,2019-01-03,2,15788.520713491485
17186,2019-01-03,3,15076.916896977335
17187,2019-01-03,4,15061.719738013802
17188,2019-01-03,5,15357.61866649281
17189,2019-01-03,6,15357.61866649281
17190,2019-01-03,7,15657.314100632162
17191,2019-01-03,8,15657.314100632162
17192,2019-01-03,9,16177.443357433267
17193,2019-01-03,10,16177.443357433267
17194,2019-01-03,11,15773.523497192195
17195,2019-01-03,12,15840.72106492215
17196,2019-01-03,13,18091.849443410207
17197,2019-01-03,14,18091.849443410207
17198,2019-01-03,15,20041.483881546905
17199,2019-01-03,16,20041.483881546905
17200,2019-01-03,17,21175.585636430176
17201,2019-01-03,18,21392.45737054456
17202,2019-01-03,19,20495.542828558853
17203,2019-01-03,20,20495.542828558853
17204,2019-01-03,21,19838.794358437754
17205,2019-01-03,22,19838.794358437754
17206,2019-01-03,23,19126.14090456823
17207,2019-01-03,24,19126.14090456823
17208,2019-01-03,25,17764.698817509634
17209,2019-01-03,26,17764.698817509634
17210,2019-01-03,27,17712.31943931366
17211,2019-01-03,28,17712.31943931366
17212,2019-01-03,29,17522.595666063917
17213,2019-01-03,30,17522.595666063917
